destination,origon,year,value,world_tot,pct_v_world,med_tot,pct_v_med,med_region,Latitude,Longitude
Egypt,WORLD,2000,184774,173230585,0.001066636,20265739,0.009117555,Southern Mediterranean,27,30
Egypt,WORLD,2005,285006,191446828,0.001488695,25646897,0.011112689,Southern Mediterranean,27,30
Egypt,WORLD,2010,310017,220983187,0.001402899,32307811,0.009595729,Southern Mediterranean,27,30
Egypt,WORLD,2015,353641,247958644,0.00142621,36161904,0.00977938,Southern Mediterranean,27,30
Egypt,WORLD,2020,543937,280598105,0.001938491,40558200,0.013411271,Southern Mediterranean,27,30
Libya,WORLD,1990,457075,152986157,0.002987689,16142994,0.02831414,Southern Mediterranean,25,17
Libya,WORLD,1995,508041,161289976,0.003149861,18182342,0.02794145,Southern Mediterranean,25,17
Libya,WORLD,2000,567436,173230585,0.003275611,20265739,0.027999768,Southern Mediterranean,25,17
Libya,WORLD,2005,625412,191446828,0.003266766,25646897,0.024385484,Southern Mediterranean,25,17
Libya,WORLD,2010,687192,220983187,0.003109703,32307811,0.02127015,Southern Mediterranean,25,17
Libya,WORLD,2015,771146,247958644,0.003109978,36161904,0.021324817,Southern Mediterranean,25,17
Libya,WORLD,2020,826537,280598105,0.002945626,40558200,0.020379036,Southern Mediterranean,25,17
Morocco,WORLD,1990,54895,152986157,0.000358823,16142994,0.003400546,Southern Mediterranean,32,-5
Morocco,WORLD,1995,50360,161289976,0.000312233,18182342,0.00276972,Southern Mediterranean,32,-5
Morocco,WORLD,2000,53034,173230585,0.000306147,20265739,0.002616929,Southern Mediterranean,32,-5
Morocco,WORLD,2005,56222,191446828,0.000293669,25646897,0.002192156,Southern Mediterranean,32,-5
Morocco,WORLD,2010,71189,220983187,0.000322147,32307811,0.002203461,Southern Mediterranean,32,-5
Morocco,WORLD,2015,92424,247958644,0.00037274,36161904,0.002555839,Southern Mediterranean,32,-5
Morocco,WORLD,2020,102358,280598105,0.000364785,40558200,0.002523731,Southern Mediterranean,32,-5
Tunisia,WORLD,1990,37984,152986157,0.000248284,16142994,0.002352971,Southern Mediterranean,34,9
Tunisia,WORLD,1995,37867,161289976,0.000234776,18182342,0.002082625,Southern Mediterranean,34,9
